"TABL. 21. POWIERZCHNIA, LUDNOŚĆ ORAZ LOKATY WEDŁUG GMIN
                 AREA, POPULATION AND RANKING POSITIONS BY GMINAS",,,,,,,,,,,,
,,,,,,,,,,,,"Powrót do spisu tablic
Return to list of tables"
"Identyfikator
terytorialny
Territorial
identifier","Wyszczególnienie  Specification
a Port lotniczy. Airport.
b Port morski. Seaport.
c Przejście graniczne. Border crossing.","Powierzchnia
Area",,,"Ludność
 Population",,,"Lokata według
Ranking position by",,,,
,,"w ha
in ha",,"w km ²
in km ²","ogółem
total",,"na 1 km ²
per 1 km ²","powierzchni
w ha
area in ha","liczby
ludności
population",,,
,WOJ. DOLNOŚLĄSKIE,,,,,,,,,,,
,Powiat bolesławiecki  (6 gmin),,,,,,,,,,,
,gmina miejska   urban gmina,,,,,,,,,,,
020101 1,  Bolesławiec..........................................................................................................................................................................................................................................................,2357,,24,38935,,1652,2206,132,,,
,gminy wiejskie   rural gminas,,,,,,,,,,,
020102 2,  Bolesławiec..........................................................................................................................................................................................................................................................,28849,,289,14626,,51,116,536,,,
020103 2,  Gromadka..........................................................................................................................................................................................................................................................,26768,,268,5367,,20,139,1638,,,
020105 2,  Osiecznica..........................................................................................................................................................................................................................................................,43704,↑,437,7371,,17,12,1230,,,
020106 2,  Warta Bolesławiecka..........................................................................................................................................................................................................................................................,11044,,110,8643,,78,1214,1027,,,
,gmina miejsko-wiejska   urban-rural gmina,,,,,,,,,,,
020104 3,  Nowogrodziec..........................................................................................................................................................................................................................................................,17629,,176,15258,,87,476,510,,,
020104 4,     miasto   town..........................................................................................................................................................................................................................................................,1610,,16,4235,,263,x,x,,,
020104 5,     obszar wiejski   rural area..........................................................................................................................................................................................................................................................,16019,,160,11023,,69,x,x,,,
,Powiat dzierżoniowski  (7 gmin),,,,,,,,,,,
,gminy miejskie   urban gminas,,,,,,,,,,,
020201 1,  Bielawa..........................................................................................................................................................................................................................................................,3621,,36,30055,,830,2118,188,,,
020202 1,  Dzierżoniów..........................................................................................................................................................................................................................................................,2007,,20,33344,,1661,2237,163,,,
020204 1,  Piława Górna..........................................................................................................................................................................................................................................................,2093,,21,6457,,309,2229,1396,,,
,gminy wiejskie   rural gminas,,,,,,,,,,,
020205 2,  Dzierżoniów..........................................................................................................................................................................................................................................................,14106,,141,9138,,65,770,959,,,
020206 2,  Łagiewniki..........................................................................................................................................................................................................................................................,12477,,125,7449,,60,981,1216,,,
,gminy miejsko-wiejskie   urban-rural gminas,,,,,,,,,,,
020207 3,  Niemcza..........................................................................................................................................................................................................................................................,7186,,72,5502,,77,1821,1601,,,
